first_name,middle_initial,last_name,home_state,birth_date,death_date,nickname,display_name
Harry,E,Browne,TN,"17-Jun-1933","01-Mar-2006",,Harry Browne
Arthur,C,Oliver,CA,"24-Aug-1957",,Art,Art Oliver
Howard,J,Phillips,VA,"03-Feb-1941","20-Aug-2013",,Howard Phillips
J,C,Frazier,MO,"11-Dec-1955",,Curtis,Curtis Frazier
Robert,C,Smith,NH,"30-Mar-1941",,Bob,Bob Smith
William,J,Clinton,AR,"19-Aug-1946",,Bill,Bill Clinton
Robert,J,Dole,KS,"22-Jul-1923",,Bob,Bob Dole
Henry,R,Perot,TX,"27-Jun-1930","09-Jul-2019",Ross,Ross Perot
Jack,F,Kemp,NY,"13-Jul-1935","02-May-2009",,Jack Kemp
Pat,,Choate,TX,"27-Apr-1941",,,Pat Choate
John,S,Hagelin,IA,"09-Jun-1954",,,John Hagelin
Mike,,Tompkins,MA,,,,Mike Tompkins
George,HW,Bush,TX,"12-Jun-1924","20-Nov-2018",,George Bush
James,D,Quayle,IN,"04-Feb-1947",,Dan,Dan Quayle
James,B,Stockdale,CO,"23-Dec-1923","05-Jul-2005",,James Stockdale
Andre,V,Marrou,AK,"04-Dec-1938",,,Andre Marrou
Nancy,T,Lord,NV,"08-Feb-1952",,,Nancy Lord
Lenora,B,Fulani,NJ,"25-Apr-1950",,,Lenora Fulani
Maria,E,Munoz,CA,,,,Maria Munoz
Albion,W,Knight,MD,"01-Jun-1924","22-May-2012",,Albion Knight
Herbert,W,Titus,OR,"17-Oct-1937",,Herb,Herb Titus
Michael,S,Dukakis,MA,"03-Nov-1933",,,Michael Dukakis
Lloyd,M,Bentsen,TX,"11-Feb-1921","23-May-2006",,Loyd Bentsen
Ronald,E,Paul,TX,"20-Aug-1935",,Ron,Ron Paul
Joyce,,Dattner,CA,,,,Joyce Dattner
Willa,,Kenoyer,MI,"13-Dec-1933",,,Willa Kenoyer
Ron,,Ehrenreich,NY,,,,Ron Ehrenreich
David,E,Duke,LA,"01-Jul-1950",,,David Duke
Cheri,L,Honkala,PA,"12-Jan-1963",,,Cheri Honkala
Yari,,Osorio,NY,"",,,Yari Osorio
Amos,N,Goldhaber,CA,,,Nat,Nat Goldhaber
James,G,Gritz,ID,"18-Jan-1939",,Bo,Bo Gritz
Lyndon,H,LaRouche,NH,"08-Sep-1922","12-Feb-2019",,Lyndon LaRouche
James,L,Bevel,MS,"19-Oct-1936","19-Dec-2008",,James Bevel
James,,Warren,IL,,,Mac,Mac Warren
Kathleen,,Mickells,PA,,,,Kathleen Mickells
Willie,M,Reid,IL,,,,Willie Mae Reid
John,Q,Brisben,IL,"06-Sep-1934","17-Apr-2012",J,J. Quinn Brisben
Barbara,,Garson,NY,"07-Jul-1941",,,Barbara Garson
Mary,C,Hollis,CO,,,,Mary Cal Hollis
Eric,T,Chester,MA,"06-Aug-1943",,,Eric Chester
David,E,McReynolds,NY,"25-Oct-1929","17-Aug-2018",,David McReynolds
Walter,F,Brown,OR,"28-Jul-1926",,Walt,Walt Brown
Mary,A,Herbert,VT,"28-Feb-1935",,Mal,Mal Herbert
Alejandro,,Mendoza,TX,"25-Apr-1977",,Alex,Alex Mendoza
Emidio,,Soltysik,CA,"30-Oct-1974","28-Jun-2020",Mimi,Mimi Soltysik
Kanye,O,West,IL,"08-Jun-1977",,,Kanye West
Michelle,,Tidball,WY,,,,Michelle Tidball
N/A,,N/A,,,,,Other
