party_prediction,county_fips,county_name,state_fips,state_code
R,002020,ANCHORAGE MUNICIPALITY,002000,AK
D,004001,APACHE COUNTY,004000,AZ
R,004003,COCHISE COUNTY,004000,AZ
D,004005,COCONINO COUNTY,004000,AZ
R,004007,GILA COUNTY,004000,AZ
R,004009,GRAHAM COUNTY,004000,AZ
R,004011,GREENLEE COUNTY,004000,AZ
R,004012,LA PAZ COUNTY,004000,AZ
R,004013,MARICOPA COUNTY,004000,AZ
R,004015,MOHAVE COUNTY,004000,AZ
R,004017,NAVAJO COUNTY,004000,AZ
D,004019,PIMA COUNTY,004000,AZ
R,004021,PINAL COUNTY,004000,AZ
D,004023,SANTA CRUZ COUNTY,004000,AZ
R,004025,YAVAPAI COUNTY,004000,AZ
R,004027,YUMA COUNTY,004000,AZ
R,005001,ARKANSAS COUNTY,005000,AR
R,005003,ASHLEY COUNTY,005000,AR
R,005005,BAXTER COUNTY,005000,AR
R,005007,BENTON COUNTY,005000,AR
R,005009,BOONE COUNTY,005000,AR
R,005011,BRADLEY COUNTY,005000,AR
R,005013,CALHOUN COUNTY,005000,AR
R,005015,CARROLL COUNTY,005000,AR
D,005017,CHICOT COUNTY,005000,AR
R,005019,CLARK COUNTY,005000,AR
R,005021,CLAY COUNTY,005000,AR
R,005023,CLEBURNE COUNTY,005000,AR
R,005025,CLEVELAND COUNTY,005000,AR
R,005027,COLUMBIA COUNTY,005000,AR
R,005029,CONWAY COUNTY,005000,AR
R,005031,CRAIGHEAD COUNTY,005000,AR
R,005033,CRAWFORD COUNTY,005000,AR
D,005035,CRITTENDEN COUNTY,005000,AR
R,005037,CROSS COUNTY,005000,AR
R,005039,DALLAS COUNTY,005000,AR
D,005041,DESHA COUNTY,005000,AR
R,005043,DREW COUNTY,005000,AR
R,005045,FAULKNER COUNTY,005000,AR
R,005047,FRANKLIN COUNTY,005000,AR
R,005049,FULTON COUNTY,005000,AR
R,005051,GARLAND COUNTY,005000,AR
R,005053,GRANT COUNTY,005000,AR
R,005055,GREENE COUNTY,005000,AR
R,005057,HEMPSTEAD COUNTY,005000,AR
R,005059,HOT SPRING COUNTY,005000,AR
R,005061,HOWARD COUNTY,005000,AR
R,005063,INDEPENDENCE COUNTY,005000,AR
R,005065,IZARD COUNTY,005000,AR
R,005067,JACKSON COUNTY,005000,AR
D,005069,JEFFERSON COUNTY,005000,AR
R,005071,JOHNSON COUNTY,005000,AR
R,005073,LAFAYETTE COUNTY,005000,AR
R,005075,LAWRENCE COUNTY,005000,AR
D,005077,LEE COUNTY,005000,AR
R,005079,LINCOLN COUNTY,005000,AR
R,005081,LITTLE RIVER COUNTY,005000,AR
R,005083,LOGAN COUNTY,005000,AR
R,005085,LONOKE COUNTY,005000,AR
R,005087,MADISON COUNTY,005000,AR
R,005089,MARION COUNTY,005000,AR
R,005091,MILLER COUNTY,005000,AR
R,005093,MISSISSIPPI COUNTY,005000,AR
R,005095,MONROE COUNTY,005000,AR
R,005097,MONTGOMERY COUNTY,005000,AR
R,005099,NEVADA COUNTY,005000,AR
R,005101,NEWTON COUNTY,005000,AR
R,005103,OUACHITA COUNTY,005000,AR
R,005105,PERRY COUNTY,005000,AR
D,005107,PHILLIPS COUNTY,005000,AR
R,005109,PIKE COUNTY,005000,AR
R,005111,POINSETT COUNTY,005000,AR
R,005113,POLK COUNTY,005000,AR
R,005115,POPE COUNTY,005000,AR
R,005117,PRAIRIE COUNTY,005000,AR
D,005119,PULASKI COUNTY,005000,AR
R,005121,RANDOLPH COUNTY,005000,AR
D,005123,ST. FRANCIS COUNTY,005000,AR
R,005125,SALINE COUNTY,005000,AR
R,005127,SCOTT COUNTY,005000,AR
R,005129,SEARCY COUNTY,005000,AR
R,005131,SEBASTIAN COUNTY,005000,AR
R,005133,SEVIER COUNTY,005000,AR
R,005135,SHARP COUNTY,005000,AR
R,005137,STONE COUNTY,005000,AR
R,005139,UNION COUNTY,005000,AR
R,005141,VAN BUREN COUNTY,005000,AR
R,005143,WASHINGTON COUNTY,005000,AR
R,005145,WHITE COUNTY,005000,AR
D,005147,WOODRUFF COUNTY,005000,AR
R,005149,YELL COUNTY,005000,AR
D,006001,ALAMEDA COUNTY,006000,CA
D,006003,ALPINE COUNTY,006000,CA
R,006005,AMADOR COUNTY,006000,CA
R,006007,BUTTE COUNTY,006000,CA
R,006009,CALAVERAS COUNTY,006000,CA
R,006011,COLUSA COUNTY,006000,CA
D,006013,CONTRA COSTA COUNTY,006000,CA
D,006015,DEL NORTE COUNTY,006000,CA
R,006017,EL DORADO COUNTY,006000,CA
D,006019,FRESNO COUNTY,006000,CA
R,006021,GLENN COUNTY,006000,CA
D,006023,HUMBOLDT COUNTY,006000,CA
D,006025,IMPERIAL COUNTY,006000,CA
R,006027,INYO COUNTY,006000,CA
D,006029,KERN COUNTY,006000,CA
R,006031,KINGS COUNTY,006000,CA
D,006033,LAKE COUNTY,006000,CA
R,006035,LASSEN COUNTY,006000,CA
D,006037,LOS ANGELES COUNTY,006000,CA
R,006039,MADERA COUNTY,006000,CA
D,006041,MARIN COUNTY,006000,CA
R,006043,MARIPOSA COUNTY,006000,CA
D,006045,MENDOCINO COUNTY,006000,CA
D,006047,MERCED COUNTY,006000,CA
D,006049,MODOC COUNTY,006000,CA
D,006051,MONO COUNTY,006000,CA
D,006053,MONTEREY COUNTY,006000,CA
D,006055,NAPA COUNTY,006000,CA
R,006057,NEVADA COUNTY,006000,CA
R,006059,ORANGE COUNTY,006000,CA
R,006061,PLACER COUNTY,006000,CA
R,006063,PLUMAS COUNTY,006000,CA
D,006065,RIVERSIDE COUNTY,006000,CA
D,006067,SACRAMENTO COUNTY,006000,CA
D,006069,SAN BENITO COUNTY,006000,CA
D,006071,SAN BERNARDINO COUNTY,006000,CA
D,006073,SAN DIEGO COUNTY,006000,CA
D,006075,SAN FRANCISCO COUNTY,006000,CA
D,006077,SAN JOAQUIN COUNTY,006000,CA
D,006079,SAN LUIS OBISPO COUNTY,006000,CA
D,006081,SAN MATEO COUNTY,006000,CA
D,006083,SANTA BARBARA COUNTY,006000,CA
D,006085,SANTA CLARA COUNTY,006000,CA
D,006087,SANTA CRUZ COUNTY,006000,CA
R,006089,SHASTA COUNTY,006000,CA
R,006091,SIERRA COUNTY,006000,CA
R,006093,SISKIYOU COUNTY,006000,CA
D,006095,SOLANO COUNTY,006000,CA
D,006097,SONOMA COUNTY,006000,CA
D,006099,STANISLAUS COUNTY,006000,CA
R,006101,SUTTER COUNTY,006000,CA
R,006103,TEHAMA COUNTY,006000,CA
R,006105,TRINITY COUNTY,006000,CA
R,006107,TULARE COUNTY,006000,CA
R,006109,TUOLUMNE COUNTY,006000,CA
D,006111,VENTURA COUNTY,006000,CA
D,006113,YOLO COUNTY,006000,CA
R,006115,YUBA COUNTY,006000,CA
D,008001,ADAMS COUNTY,008000,CO
D,008003,ALAMOSA COUNTY,008000,CO
D,008005,ARAPAHOE COUNTY,008000,CO
R,008007,ARCHULETA COUNTY,008000,CO
R,008009,BACA COUNTY,008000,CO
R,008011,BENT COUNTY,008000,CO
D,008013,BOULDER COUNTY,008000,CO
D,008014,BROOMFIELD COUNTY,008000,CO
D,008015,CHAFFEE COUNTY,008000,CO
R,008017,CHEYENNE COUNTY,008000,CO
D,008019,CLEAR CREEK COUNTY,008000,CO
D,008021,CONEJOS COUNTY,008000,CO
R,008023,COSTILLA COUNTY,008000,CO
R,008025,CROWLEY COUNTY,008000,CO
R,008027,CUSTER COUNTY,008000,CO
R,008029,DELTA COUNTY,008000,CO
D,008031,DENVER COUNTY,008000,CO
R,008033,DOLORES COUNTY,008000,CO
R,008035,DOUGLAS COUNTY,008000,CO
D,008037,EAGLE COUNTY,008000,CO
R,008039,ELBERT COUNTY,008000,CO
R,008041,EL PASO COUNTY,008000,CO
R,008043,FREMONT COUNTY,008000,CO
R,008045,GARFIELD COUNTY,008000,CO
D,008047,GILPIN COUNTY,008000,CO
R,008049,GRAND COUNTY,008000,CO
D,008051,GUNNISON COUNTY,008000,CO
R,008053,HINSDALE COUNTY,008000,CO
D,008055,HUERFANO COUNTY,008000,CO
R,008057,JACKSON COUNTY,008000,CO
D,008059,JEFFERSON COUNTY,008000,CO
R,008061,KIOWA COUNTY,008000,CO
R,008063,KIT CARSON COUNTY,008000,CO
D,008065,LAKE COUNTY,008000,CO
D,008067,LA PLATA COUNTY,008000,CO
D,008069,LARIMER COUNTY,008000,CO
D,008071,LAS ANIMAS COUNTY,008000,CO
R,008073,LINCOLN COUNTY,008000,CO
R,008075,LOGAN COUNTY,008000,CO
R,008077,MESA COUNTY,008000,CO
R,008079,MINERAL COUNTY,008000,CO
R,008081,MOFFAT COUNTY,008000,CO
R,008083,MONTEZUMA COUNTY,008000,CO
R,008085,MONTROSE COUNTY,008000,CO
R,008087,MORGAN COUNTY,008000,CO
R,008089,OTERO COUNTY,008000,CO
D,008091,OURAY COUNTY,008000,CO
R,008093,PARK COUNTY,008000,CO
R,008095,PHILLIPS COUNTY,008000,CO
D,008097,PITKIN COUNTY,008000,CO
R,008099,PROWERS COUNTY,008000,CO
R,008101,PUEBLO COUNTY,008000,CO
R,008103,RIO BLANCO COUNTY,008000,CO
R,008105,RIO GRANDE COUNTY,008000,CO
D,008107,ROUTT COUNTY,008000,CO
D,008109,SAGUACHE COUNTY,008000,CO
D,008111,SAN JUAN COUNTY,008000,CO
D,008113,SAN MIGUEL COUNTY,008000,CO
R,008115,SEDGWICK COUNTY,008000,CO
D,008117,SUMMIT COUNTY,008000,CO
R,008119,TELLER COUNTY,008000,CO
R,008121,WASHINGTON COUNTY,008000,CO
R,008123,WELD COUNTY,008000,CO
R,008125,YUMA COUNTY,008000,CO
D,009001,FAIRFIELD COUNTY,009000,CT
D,009003,HARTFORD COUNTY,009000,CT
D,009005,LITCHFIELD COUNTY,009000,CT
D,009007,MIDDLESEX COUNTY,009000,CT
D,009009,NEW HAVEN COUNTY,009000,CT
D,009011,NEW LONDON COUNTY,009000,CT
D,009013,TOLLAND COUNTY,009000,CT
D,009015,WINDHAM COUNTY,009000,CT
D,010001,KENT COUNTY,010000,DE
D,010003,NEW CASTLE COUNTY,010000,DE
R,010005,SUSSEX COUNTY,010000,DE
D,012001,ALACHUA COUNTY,012000,FL
R,012003,BAKER COUNTY,012000,FL
R,012005,BAY COUNTY,012000,FL
R,012007,BRADFORD COUNTY,012000,FL
R,012009,BREVARD COUNTY,012000,FL
D,012011,BROWARD COUNTY,012000,FL
R,012013,CALHOUN COUNTY,012000,FL
R,012015,CHARLOTTE COUNTY,012000,FL
R,012017,CITRUS COUNTY,012000,FL
D,012019,CLAY COUNTY,012000,FL
R,012021,COLLIER COUNTY,012000,FL
R,012023,COLUMBIA COUNTY,012000,FL
R,012027,DESOTO COUNTY,012000,FL
R,012029,DIXIE COUNTY,012000,FL
R,012031,DUVAL COUNTY,012000,FL
R,012033,ESCAMBIA COUNTY,012000,FL
R,012035,FLAGLER COUNTY,012000,FL
R,012037,FRANKLIN COUNTY,012000,FL
D,012039,GADSDEN COUNTY,012000,FL
R,012041,GILCHRIST COUNTY,012000,FL
R,012043,GLADES COUNTY,012000,FL
R,012045,GULF COUNTY,012000,FL
R,012047,HAMILTON COUNTY,012000,FL
R,012049,HARDEE COUNTY,012000,FL
R,012051,HENDRY COUNTY,012000,FL
R,012053,HERNANDO COUNTY,012000,FL
R,012055,HIGHLANDS COUNTY,012000,FL
D,012057,HILLSBOROUGH COUNTY,012000,FL
R,012059,HOLMES COUNTY,012000,FL
R,012061,INDIAN RIVER COUNTY,012000,FL
R,012063,JACKSON COUNTY,012000,FL
D,012065,JEFFERSON COUNTY,012000,FL
R,012067,LAFAYETTE COUNTY,012000,FL
R,012069,LAKE COUNTY,012000,FL
R,012071,LEE COUNTY,012000,FL
D,012073,LEON COUNTY,012000,FL
R,012075,LEVY COUNTY,012000,FL
R,012077,LIBERTY COUNTY,012000,FL
R,012079,MADISON COUNTY,012000,FL
R,012081,MANATEE COUNTY,012000,FL
R,012083,MARION COUNTY,012000,FL
R,012085,MARTIN COUNTY,012000,FL
D,012086,MIAMI-DADE COUNTY,012000,FL
D,012087,MONROE COUNTY,012000,FL
R,012089,NASSAU COUNTY,012000,FL
R,012091,OKALOOSA COUNTY,012000,FL
R,012093,OKEECHOBEE COUNTY,012000,FL
D,012095,ORANGE COUNTY,012000,FL
D,012097,OSCEOLA COUNTY,012000,FL
D,012099,PALM BEACH COUNTY,012000,FL
R,012101,PASCO COUNTY,012000,FL
D,012103,PINELLAS COUNTY,012000,FL
R,012105,POLK COUNTY,012000,FL
R,012107,PUTNAM COUNTY,012000,FL
R,012109,ST. JOHNS COUNTY,012000,FL
D,012111,ST. LUCIE COUNTY,012000,FL
R,012113,SANTA ROSA COUNTY,012000,FL
R,012115,SARASOTA COUNTY,012000,FL
R,012117,SEMINOLE COUNTY,012000,FL
R,012119,SUMTER COUNTY,012000,FL
R,012121,SUWANNEE COUNTY,012000,FL
R,012123,TAYLOR COUNTY,012000,FL
R,012125,UNION COUNTY,012000,FL
D,012127,VOLUSIA COUNTY,012000,FL
R,012129,WAKULLA COUNTY,012000,FL
R,012131,WALTON COUNTY,012000,FL
R,012133,WASHINGTON COUNTY,012000,FL
R,013001,APPLING COUNTY,013000,GA
R,013003,ATKINSON COUNTY,013000,GA
R,013005,BACON COUNTY,013000,GA
D,013007,BAKER COUNTY,013000,GA
D,013009,BALDWIN COUNTY,013000,GA
R,013011,BANKS COUNTY,013000,GA
R,013013,BARROW COUNTY,013000,GA
R,013015,BARTOW COUNTY,013000,GA
R,013017,BEN HILL COUNTY,013000,GA
R,013019,BERRIEN COUNTY,013000,GA
D,013021,BIBB COUNTY,013000,GA
R,013023,BLECKLEY COUNTY,013000,GA
R,013025,BRANTLEY COUNTY,013000,GA
R,013027,BROOKS COUNTY,013000,GA
R,013029,BRYAN COUNTY,013000,GA
R,013031,BULLOCH COUNTY,013000,GA
D,013033,BURKE COUNTY,013000,GA
R,013035,BUTTS COUNTY,013000,GA
D,013037,CALHOUN COUNTY,013000,GA
R,013039,CAMDEN COUNTY,013000,GA
R,013043,CANDLER COUNTY,013000,GA
R,013045,CARROLL COUNTY,013000,GA
R,013047,CATOOSA COUNTY,013000,GA
R,013049,CHARLTON COUNTY,013000,GA
D,013051,CHATHAM COUNTY,013000,GA
R,013053,CHATTAHOOCHEE COUNTY,013000,GA
R,013055,CHATTOOGA COUNTY,013000,GA
R,013057,CHEROKEE COUNTY,013000,GA
D,013059,CLARKE COUNTY,013000,GA
D,013061,CLAY COUNTY,013000,GA
D,013063,CLAYTON COUNTY,013000,GA
R,013065,CLINCH COUNTY,013000,GA
R,013067,COBB COUNTY,013000,GA
R,013069,COFFEE COUNTY,013000,GA
R,013071,COLQUITT COUNTY,013000,GA
R,013073,COLUMBIA COUNTY,013000,GA
R,013075,COOK COUNTY,013000,GA
R,013077,COWETA COUNTY,013000,GA
R,013079,CRAWFORD COUNTY,013000,GA
R,013081,CRISP COUNTY,013000,GA
R,013083,DADE COUNTY,013000,GA
R,013085,DAWSON COUNTY,013000,GA
R,013087,DECATUR COUNTY,013000,GA
D,013089,DEKALB COUNTY,013000,GA
R,013091,DODGE COUNTY,013000,GA
D,013093,DOOLY COUNTY,013000,GA
D,013095,DOUGHERTY COUNTY,013000,GA
D,013097,DOUGLAS COUNTY,013000,GA
R,013099,EARLY COUNTY,013000,GA
R,013101,ECHOLS COUNTY,013000,GA
R,013103,EFFINGHAM COUNTY,013000,GA
R,013105,ELBERT COUNTY,013000,GA
R,013107,EMANUEL COUNTY,013000,GA
R,013109,EVANS COUNTY,013000,GA
R,013111,FANNIN COUNTY,013000,GA
R,013113,FAYETTE COUNTY,013000,GA
R,013115,FLOYD COUNTY,013000,GA
R,013117,FORSYTH COUNTY,013000,GA
R,013119,FRANKLIN COUNTY,013000,GA
D,013121,FULTON COUNTY,013000,GA
R,013123,GILMER COUNTY,013000,GA
R,013125,GLASCOCK COUNTY,013000,GA
R,013127,GLYNN COUNTY,013000,GA
R,013129,GORDON COUNTY,013000,GA
R,013131,GRADY COUNTY,013000,GA
R,013133,GREENE COUNTY,013000,GA
R,013135,GWINNETT COUNTY,013000,GA
R,013137,HABERSHAM COUNTY,013000,GA
R,013139,HALL COUNTY,013000,GA
D,013141,HANCOCK COUNTY,013000,GA
R,013143,HARALSON COUNTY,013000,GA
R,013145,HARRIS COUNTY,013000,GA
R,013147,HART COUNTY,013000,GA
R,013149,HEARD COUNTY,013000,GA
R,013151,HENRY COUNTY,013000,GA
R,013153,HOUSTON COUNTY,013000,GA
R,013155,IRWIN COUNTY,013000,GA
R,013157,JACKSON COUNTY,013000,GA
R,013159,JASPER COUNTY,013000,GA
R,013161,JEFF DAVIS COUNTY,013000,GA
D,013163,JEFFERSON COUNTY,013000,GA
R,013165,JENKINS COUNTY,013000,GA
R,013167,JOHNSON COUNTY,013000,GA
R,013169,JONES COUNTY,013000,GA
R,013171,LAMAR COUNTY,013000,GA
R,013173,LANIER COUNTY,013000,GA
R,013175,LAURENS COUNTY,013000,GA
R,013177,LEE COUNTY,013000,GA
D,013179,LIBERTY COUNTY,013000,GA
R,013181,LINCOLN COUNTY,013000,GA
R,013183,LONG COUNTY,013000,GA
R,013185,LOWNDES COUNTY,013000,GA
R,013187,LUMPKIN COUNTY,013000,GA
R,013189,MCDUFFIE COUNTY,013000,GA
D,013191,MCINTOSH COUNTY,013000,GA
D,013193,MACON COUNTY,013000,GA
R,013195,MADISON COUNTY,013000,GA
R,013197,MARION COUNTY,013000,GA
R,013199,MERIWETHER COUNTY,013000,GA
R,013201,MILLER COUNTY,013000,GA
R,013205,MITCHELL COUNTY,013000,GA
R,013207,MONROE COUNTY,013000,GA
R,013209,MONTGOMERY COUNTY,013000,GA
R,013211,MORGAN COUNTY,013000,GA
R,013213,MURRAY COUNTY,013000,GA
D,013215,MUSCOGEE COUNTY,013000,GA
D,013217,NEWTON COUNTY,013000,GA
R,013219,OCONEE COUNTY,013000,GA
R,013221,OGLETHORPE COUNTY,013000,GA
R,013223,PAULDING COUNTY,013000,GA
D,013225,PEACH COUNTY,013000,GA
R,013227,PICKENS COUNTY,013000,GA
R,013229,PIERCE COUNTY,013000,GA
R,013231,PIKE COUNTY,013000,GA
R,013233,POLK COUNTY,013000,GA
R,013235,PULASKI COUNTY,013000,GA
R,013237,PUTNAM COUNTY,013000,GA
D,013239,QUITMAN COUNTY,013000,GA
R,013241,RABUN COUNTY,013000,GA
D,013243,RANDOLPH COUNTY,013000,GA
D,013245,RICHMOND COUNTY,013000,GA
D,013247,ROCKDALE COUNTY,013000,GA
R,013249,SCHLEY COUNTY,013000,GA
R,013251,SCREVEN COUNTY,013000,GA
R,013253,SEMINOLE COUNTY,013000,GA
R,013255,SPALDING COUNTY,013000,GA
R,013257,STEPHENS COUNTY,013000,GA
D,013259,STEWART COUNTY,013000,GA
R,013261,SUMTER COUNTY,013000,GA
D,013263,TALBOT COUNTY,013000,GA
D,013265,TALIAFERRO COUNTY,013000,GA
R,013267,TATTNALL COUNTY,013000,GA
R,013269,TAYLOR COUNTY,013000,GA
R,013271,TELFAIR COUNTY,013000,GA
D,013273,TERRELL COUNTY,013000,GA
R,013275,THOMAS COUNTY,013000,GA
R,013277,TIFT COUNTY,013000,GA
R,013279,TOOMBS COUNTY,013000,GA
R,013281,TOWNS COUNTY,013000,GA
R,013283,TREUTLEN COUNTY,013000,GA
R,013285,TROUP COUNTY,013000,GA
R,013287,TURNER COUNTY,013000,GA
R,013289,TWIGGS COUNTY,013000,GA
R,013291,UNION COUNTY,013000,GA
R,013293,UPSON COUNTY,013000,GA
R,013295,WALKER COUNTY,013000,GA
R,013297,WALTON COUNTY,013000,GA
R,013299,WARE COUNTY,013000,GA
D,013301,WARREN COUNTY,013000,GA
D,013303,WASHINGTON COUNTY,013000,GA
R,013305,WAYNE COUNTY,013000,GA
R,013307,WEBSTER COUNTY,013000,GA
R,013309,WHEELER COUNTY,013000,GA
R,013311,WHITE COUNTY,013000,GA
R,013313,WHITFIELD COUNTY,013000,GA
R,013315,WILCOX COUNTY,013000,GA
R,013317,WILKES COUNTY,013000,GA
R,013319,WILKINSON COUNTY,013000,GA
R,013321,WORTH COUNTY,013000,GA
D,015001,HAWAII COUNTY,015000,HI
D,015003,HONOLULU COUNTY,015000,HI
D,015007,KAUAI COUNTY,015000,HI
D,015009,MAUI COUNTY,015000,HI
R,016001,ADA COUNTY,016000,ID
R,016003,ADAMS COUNTY,016000,ID
R,016005,BANNOCK COUNTY,016000,ID
R,016007,BEAR LAKE COUNTY,016000,ID
R,016009,BENEWAH COUNTY,016000,ID
R,016011,BINGHAM COUNTY,016000,ID
D,016013,BLAINE COUNTY,016000,ID
R,016015,BOISE COUNTY,016000,ID
R,016017,BONNER COUNTY,016000,ID
R,016019,BONNEVILLE COUNTY,016000,ID
R,016021,BOUNDARY COUNTY,016000,ID
R,016023,BUTTE COUNTY,016000,ID
R,016025,CAMAS COUNTY,016000,ID
R,016027,CANYON COUNTY,016000,ID
R,016029,CARIBOU COUNTY,016000,ID
R,016031,CASSIA COUNTY,016000,ID
R,016033,CLARK COUNTY,016000,ID
R,016035,CLEARWATER COUNTY,016000,ID
R,016037,CUSTER COUNTY,016000,ID
R,016039,ELMORE COUNTY,016000,ID
R,016041,FRANKLIN COUNTY,016000,ID
R,016043,FREMONT COUNTY,016000,ID
R,016045,GEM COUNTY,016000,ID
R,016047,GOODING COUNTY,016000,ID
R,016049,IDAHO COUNTY,016000,ID
R,016051,JEFFERSON COUNTY,016000,ID
R,016053,JEROME COUNTY,016000,ID
R,016055,KOOTENAI COUNTY,016000,ID
D,016057,LATAH COUNTY,016000,ID
R,016059,LEMHI COUNTY,016000,ID
R,016061,LEWIS COUNTY,016000,ID
R,016063,LINCOLN COUNTY,016000,ID
R,016065,MADISON COUNTY,016000,ID
R,016067,MINIDOKA COUNTY,016000,ID
R,016069,NEZ PERCE COUNTY,016000,ID
R,016071,ONEIDA COUNTY,016000,ID
R,016073,OWYHEE COUNTY,016000,ID
R,016075,PAYETTE COUNTY,016000,ID
R,016077,POWER COUNTY,016000,ID
R,016079,SHOSHONE COUNTY,016000,ID
R,016081,TETON COUNTY,016000,ID
R,016083,TWIN FALLS COUNTY,016000,ID
R,016085,VALLEY COUNTY,016000,ID
R,016087,WASHINGTON COUNTY,016000,ID
R,017001,ADAMS COUNTY,017000,IL
D,017003,ALEXANDER COUNTY,017000,IL
R,017005,BOND COUNTY,017000,IL
R,017007,BOONE COUNTY,017000,IL
R,017009,BROWN COUNTY,017000,IL
R,017011,BUREAU COUNTY,017000,IL
D,017013,CALHOUN COUNTY,017000,IL
D,017015,CARROLL COUNTY,017000,IL
R,017017,CASS COUNTY,017000,IL
D,017019,CHAMPAIGN COUNTY,017000,IL
R,017021,CHRISTIAN COUNTY,017000,IL
R,017023,CLARK COUNTY,017000,IL
R,017025,CLAY COUNTY,017000,IL
R,017027,CLINTON COUNTY,017000,IL
R,017029,COLES COUNTY,017000,IL
D,017031,COOK COUNTY,017000,IL
R,017033,CRAWFORD COUNTY,017000,IL
R,017035,CUMBERLAND COUNTY,017000,IL
R,017037,DEKALB COUNTY,017000,IL
R,017039,DE WITT COUNTY,017000,IL
R,017041,DOUGLAS COUNTY,017000,IL
D,017043,DUPAGE COUNTY,017000,IL
R,017045,EDGAR COUNTY,017000,IL
R,017047,EDWARDS COUNTY,017000,IL
R,017049,EFFINGHAM COUNTY,017000,IL
R,017051,FAYETTE COUNTY,017000,IL
R,017053,FORD COUNTY,017000,IL
R,017055,FRANKLIN COUNTY,017000,IL
D,017057,FULTON COUNTY,017000,IL
R,017059,GALLATIN COUNTY,017000,IL
R,017061,GREENE COUNTY,017000,IL
R,017063,GRUNDY COUNTY,017000,IL
R,017065,HAMILTON COUNTY,017000,IL
R,017067,HANCOCK COUNTY,017000,IL
R,017069,HARDIN COUNTY,017000,IL
D,017071,HENDERSON COUNTY,017000,IL
D,017073,HENRY COUNTY,017000,IL
R,017075,IROQUOIS COUNTY,017000,IL
D,017077,JACKSON COUNTY,017000,IL
R,017079,JASPER COUNTY,017000,IL
R,017081,JEFFERSON COUNTY,017000,IL
R,017083,JERSEY COUNTY,017000,IL
D,017085,JO DAVIESS COUNTY,017000,IL
R,017087,JOHNSON COUNTY,017000,IL
D,017089,KANE COUNTY,017000,IL
R,017091,KANKAKEE COUNTY,017000,IL
D,017093,KENDALL COUNTY,017000,IL
D,017095,KNOX COUNTY,017000,IL
D,017097,LAKE COUNTY,017000,IL
